event,id,prior_status,step
semantic_object_returned_to_null,so_b030b3d8a1,alive,84
semantic_object_returned_to_null,so_78a2e5462d,alive,84
semantic_object_returned_to_null,so_217f3041d2,redundant_return_pending,84
semantic_object_returned_to_null,so_af579d13ef,alive,84
semantic_object_returned_to_null,so_16d9cde5f0,alive,84
semantic_object_returned_to_null,so_4e1a42e5b8,alive,84
semantic_object_returned_to_null,so_09ce473a90,alive,84
semantic_object_returned_to_null,so_7a6759c758,alive,84
semantic_object_returned_to_null,so_c97295b870,alive,84
semantic_object_returned_to_null,so_9b53fc51d6,alive,84
semantic_object_returned_to_null,so_2aa44e8dcd,alive,84
semantic_object_returned_to_null,so_04429e8823,redundant_return_pending,84
semantic_object_returned_to_null,so_1faaeb9b2c,alive,84
semantic_object_returned_to_null,so_61df01fd4d,alive,84
semantic_object_returned_to_null,so_2c11bb82ba,alive,84
semantic_object_returned_to_null,so_00dbf406b4,alive,84
semantic_object_returned_to_null,so_6520ce448c,alive,84
semantic_object_returned_to_null,so_0747185f43,alive,84
semantic_object_returned_to_null,so_b42fcb8267,alive,84
semantic_object_returned_to_null,so_3265aeea63,alive,84
semantic_object_returned_to_null,so_5ca916c292,alive,84
semantic_object_returned_to_null,so_049da47719,alive,84
semantic_object_returned_to_null,so_25f48bcab0,alive,84
semantic_object_returned_to_null,so_4eda5b2655,redundant_return_pending,84
semantic_object_returned_to_null,so_e6c88e0e58,alive,84
semantic_object_returned_to_null,so_6fc630fbdf,redundant_return_pending,84
semantic_object_returned_to_null,so_97217bf472,redundant_return_pending,84
semantic_object_returned_to_null,so_e5cdee58c9,alive,84
semantic_object_returned_to_null,so_7968940973,redundant_return_pending,84
semantic_object_returned_to_null,so_3a3130bc60,redundant_return_pending,84
semantic_object_returned_to_null,so_9d83af633e,alive,84
semantic_object_returned_to_null,so_3d64c28987,alive,84
semantic_object_returned_to_null,so_f0f84b4643,alive,84
semantic_object_returned_to_null,so_22bc43cc2c,redundant_return_pending,84
semantic_object_returned_to_null,so_b99e2c9f33,alive,84
semantic_object_returned_to_null,so_cbff0cf1f3,alive,84
semantic_object_returned_to_null,so_1a29179700,alive,84
semantic_object_returned_to_null,so_d22d0d5308,alive,84
semantic_object_returned_to_null,so_93171b56b2,redundant_return_pending,84
semantic_object_returned_to_null,so_c1b2902940,alive,84
semantic_object_returned_to_null,so_335ca2f14a,alive,84
semantic_object_returned_to_null,so_bc01222666,alive,84
semantic_object_returned_to_null,so_fb0b9e3b26,alive,84
semantic_object_returned_to_null,so_f74b8a18d0,redundant_return_pending,84
semantic_object_returned_to_null,so_63b74c1447,redundant_return_pending,84
semantic_object_returned_to_null,so_15fda32f57,alive,84
semantic_object_returned_to_null,so_a87b6c6902,alive,84
semantic_object_returned_to_null,so_b8006858a4,alive,84
